Category 1,Category  2,Product Name,Product Style,Product Description,ADV Image 1,ADV Image 2,SKU,Image,Short Description,Barcode,Size,Material,Color,Icon 1,Icon 2,Icon 3,Price
,,"Ornamental Steel 3 Rail Double Gate - Ameristar Montage Majestic - Black, WMB354F-84MD",variation, Majestic Flush 3 Rail Montage Double Gate Black,S_WMB354F-120MD.jpg,,WMB354F-84MD,S_WMB354F-120MD.jpg,"54""Hx84""W Majestic Flush 3 Rail Montage Double Gate Black",11279,"54""Hx84""W ",,,,,,694.38
,,"Ornamental Steel 3 Rail Double Gate - Ameristar Montage Majestic - Black, WMB354F-168D",variation, Majestic Flush 3 Rail Montage Double Gate Black,S_WMB354F-120MD.jpg,,WMB354F-168D,S_WMB354F-120MD.jpg,"54""Hx168""W Majestic Flush 3 Rail Montage Double Gate Black",11280,"54""Hx168""W ",,,,,,1111.13
,,"Ornamental Steel 3 Rail Double Gate - Ameristar Montage Majestic - Black, WMB354F-192D",variation, Majestic Flush 3 Rail Montage Double Gate Black,S_WMB354F-120MD.jpg,,WMB354F-192D,S_WMB354F-120MD.jpg,"54""Hx192""W Majestic Flush 3 Rail Montage Double Gate Black",11281,"54""Hx192""W ",,,,,,924.6
,,"Ornamental Steel 3 Rail Double Gate - Ameristar Montage Majestic - Black, WMB354F-144MD",variation, Majestic Flush 3 Rail Montage Double Gate Black,S_WMB354F-120MD.jpg,,WMB354F-144MD,S_WMB354F-120MD.jpg,"54""Hx144""W Majestic Flush 3 Rail Montage Double Gate Black",11282,"54""Hx144""W ",,,,,,957.9
,,"Ornamental Steel 3 Rail Double Gate - Ameristar Montage Majestic - Black, WMB354F-120MD",variation, Majestic Flush 3 Rail Montage Double Gate Black,S_WMB354F-120MD.jpg,,WMB354F-120MD,S_WMB354F-120MD.jpg,"54""Hx120""W Majestic Flush 3 Rail Montage Double Gate Black",11283,"54""Hx120""W ",,,,,,953.76
,,"Ornamental Steel 3 Rail Double Gate - Ameristar Montage Majestic - Black, WMB354F-96MD",variation, Majestic Flush 3 Rail Montage Double Gate Black,S_WMB354F-120MD.jpg,,WMB354F-96MD,S_WMB354F-120MD.jpg,"54""Hx96""W Majestic Flush 3 Rail Montage Double Gate Black",11284,"54""Hx96""W ",,,,,,696.53
,,"Ameristar Majestic Ornamental Steel Cantilever Sliding Gate - Black, ECMB54144",variation, Majestic Transport Estate Cant Gate Black,S_ECMB56168.jpg,,ECMB54144,S_ECMB56168.jpg,"48""Hx144""W Majestic Transport Estate Cant Gate Black",11286,"48""Hx144""W ",,,,,,5173.94
,,"Ameristar Majestic Ornamental Steel Cantilever Sliding Gate - Black, ECMB54192",variation, Majestic Transport Estate Cant Gate Black,S_ECMB56168.jpg,,ECMB54192,S_ECMB56168.jpg,"48""Hx192""W Majestic Transport Estate Cant Gate Black",11287,"48""Hx192""W ",,,,,,6338.77
,,"Ameristar Majestic Ornamental Steel Cantilever Sliding Gate - Black, ECMB54168",variation, Majestic Transport Estate Cant Gate Black,S_ECMB56168.jpg,,ECMB54168,S_ECMB56168.jpg,"48""Hx168""W Majestic Transport Estate Cant Gate Black",11288,"48""Hx168""W ",,,,,,5664.41
,,"Ameristar Majestic Ornamental Steel Cantilever Sliding Gate - Black, ECMB55168",variation, Majestic Transport Estate Cant Gate Black,S_ECMB56168.jpg,,ECMB55168,S_ECMB56168.jpg,"60""Hx168""W Majestic Transport Estate Cant Gate Black",11289,"60""Hx168""W ",,,,,,5883.01
,,"Ameristar Majestic Ornamental Steel Cantilever Sliding Gate - Black, ECMB55192",variation, Majestic Transport Estate Cant Gate Black,S_ECMB56168.jpg,,ECMB55192,S_ECMB56168.jpg,"60""Hx192""W Majestic Transport Estate Cant Gate Black",11290,"60""Hx192""W ",,,,,,6291.51
,,"Ameristar Majestic Ornamental Steel Cantilever Sliding Gate - Black, ECMB55144",variation, Majestic Transport Estate Cant Gate Black,S_ECMB56168.jpg,,ECMB55144,S_ECMB56168.jpg,"60""Hx144""W Majestic Transport Estate Cant Gate Black",11291,"60""Hx144""W ",,,,,,5370.68
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB548-84H",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB548-84H,S_EMB572-120F.jpg,"48""Hx84""W Majestic 5 Rail Estate Gate Black",11293,"48""Hx84""W ",,,,,,2055.45
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB548-60H",variation, Majestic 5R Estate Gate Black,S_EMB572-120F.jpg,,EMB548-60H,S_EMB572-120F.jpg,"48""Hx60""W Majestic 5R Estate Gate Black",11294,"48""Hx60""W ",,,,,,1651.49
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB548-96",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB548-96,S_EMB572-120F.jpg,"48""Hx96""W Majestic 5 Rail Estate Gate Black",11295,"48""Hx96""W ",,,,,,2167.47
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB548-72H",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB548-72H,S_EMB572-120F.jpg,"48""Hx72""W Majestic 5 Rail Estate Gate Black",11296,"48""Hx72""W ",,,,,,1920.55
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB548-48H",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB548-48H,S_EMB572-120F.jpg,"48""Hx48""W Majestic 5 Rail Estate Gate Black",11297,"48""Hx48""W ",,,,,,1423.25
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB548-168H",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB548-168H,S_EMB572-120F.jpg,"48""Hx168""W Majestic 5 Rail Estate Gate Black",11298,"48""Hx168""W ",,,,,,4110.89
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB548-168",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB548-168,S_EMB572-120F.jpg,"48""Hx168""W Majestic 5 Rail Estate Gate Black",11299,"48""Hx168""W ",,,,,,4110.89
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB548-156H",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB548-156H,S_EMB572-120F.jpg,"48""Hx156""W Majestic 5 Rail Estate Gate Black",11300,"48""Hx156""W ",,,,,,3479.85
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB548-144",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB548-144,S_EMB572-120F.jpg,"48""Hx144""W Majestic 5 Rail Estate Gate Black",11301,"48""Hx144""W ",,,,,,2847.67
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB548-132H",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB548-132H,S_EMB572-120F.jpg,"48""Hx132""W Majestic 5 Rail Estate Gate Black",11302,"48""Hx132""W ",,,,,,2672.77
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB548-120H",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB548-120H,S_EMB572-120F.jpg,"48""Hx120""W Majestic 5 Rail Estate Gate Black",11303,"48""Hx120""W ",,,,,,2468.14
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB548-120",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB548-120,S_EMB572-120F.jpg,"48""Hx120""W Majestic 5 Rail Estate Gate Black",11304,"48""Hx120""W ",,,,,,2468.14
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB548-108H",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB548-108H,S_EMB572-120F.jpg,"48""Hx108""W Majestic 5 Rail Estate Gate Black",11305,"48""Hx108""W ",,,,,,2320.66
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB548-144H",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB548-144H,S_EMB572-120F.jpg,"48""Hx144""W Majestic 5 Rail Estate Gate Black",11306,"48""Hx144""W ",,,,,,2847.67
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB548-96H",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB548-96H,S_EMB572-120F.jpg,"48""Hx96""W Majestic 5 Rail Estate Gate Black",11307,"48""Hx96""W ",,,,,,2167.47
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB560-120",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB560-120,S_EMB572-120F.jpg,"60""Hx120""W Majestic 5 Rail Estate Gate Black",11308,"60""Hx120""W ",,,,,,2703.64
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB560-96",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB560-96,S_EMB572-120F.jpg,"60""Hx96""W Majestic 5 Rail Estate Gate Black",11309,"60""Hx96""W ",,,,,,2261.21
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB560-84H",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB560-84H,S_EMB572-120F.jpg,"60""Hx84""W Majestic 5 Rail Estate Gate Black",11310,"60""Hx84""W ",,,,,,2145.76
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB560-72H",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB560-72H,S_EMB572-120F.jpg,"60""Hx72""W Majestic 5 Rail Estate Gate Black",11311,"60""Hx72""W ",,,,,,1992.59
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB560-60H",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB560-60H,S_EMB572-120F.jpg,"60""Hx60""W Majestic 5 Rail Estate Gate Black",11312,"60""Hx60""W ",,,,,,1862.24
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB560-48H",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB560-48H,S_EMB572-120F.jpg,"60""Hx48""W Majestic 5 Rail Estate Gate Black",11313,"60""Hx48""W ",,,,,,1527.3
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB560-168",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB560-168,S_EMB572-120F.jpg,"60""Hx168""W Majestic 5 Rail Estate Gate Black",11314,"60""Hx168""W ",,,,,,4291.5
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB560-156H",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB560-156H,S_EMB572-120F.jpg,"60""Hx156""W Majestic 5 Rail Estate Gate Black",11315,"60""Hx156""W ",,,,,,3629.61
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB560-144H",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB560-144H,S_EMB572-120F.jpg,"60""Hx144""W Majestic 5 Rail Estate Gate Black",11316,"60""Hx144""W ",,,,,,2967.7
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB560-120H",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB560-120H,S_EMB572-120F.jpg,"60""Hx120""W Majestic 5 Rail Estate Gate Black",11317,"60""Hx120""W ",,,,,,2703.64
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB560-108H",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB560-108H,S_EMB572-120F.jpg,"60""Hx108""W Majestic 5 Rail Estate Gate Black",11318,"60""Hx108""W ",,,,,,2414.4
,,"Ameristar Majestic Ornamental Steel 5 Rail Estate Gate - Black, EMB560-96H",variation, Majestic 5 Rail Estate Gate Black,S_EMB572-120F.jpg,,EMB560-96H,S_EMB572-120F.jpg,"60""Hx96""W Majestic 5 Rail Estate Gate Black",11319,"60""Hx96""W ",,,,,,2261.21
